Id,geacron_similarity,concept_similarity
1478,0.9243,-1
1464,0.8412,0.947273033288058
1540,-1,0.80679374239269
1245,0,0.8830639053757801
1947,0.8862,-1
863,0.8401000000000001,0.7929499394338699
531,0.718,-1
346,0.8306,0.73270386038228
658,0.8835,0.78887369557189
461,-1,0.9238205439423071
92,1.0,0.8093684901089699
759,0.8383,0.80869788089191
1679,-1,0.77689010628512
1856,-1,0.781404898529
144,0.8411,0.78391175252095
1434,0.91,-1
1978,-1,0.7805897130702399
622,0.7806,0.7459305967650001
305,0.837,0.85166496180095
119,-1,0.69620951629458
283,0.8315,-1
2019,-1,0.8665009991996699
1774,-1,0.8061598063414099
417,-1,0.85455367365125
142,0.7806,0.75690993060787
1311,0.837,0.7623257210768299
2008,-1,0.75750859972049
743,0.8374,0.97855603321843
711,0.8361000000000001,0.84037043475129
1254,0.7783,0.75488786075596
1723,-1,0.77991564122705
1339,0,-1
311,0.9431,0.938157678469388
170,0.8583000000000001,0.81411442286159
650,0.8857,0.901888340398492
810,0.8314,0.78669437972857
821,0.9499,0.969699908583293
1405,-1,0.80336649412753
1237,0.8626,-1
1179,0,-1
1735,-1,0.919291691797097
1147,-1,0.6480427928225
1759,0.9343,-1
365,0.8311999999999999,0.7789366675973199
1288,0.8319,0.81219423860106
237,0.8331999999999999,0.7605944541948
1902,-1,0.78111777475529
1022,0.832,0.79903430741993
1413,-1,0.79096221656371
1246,0,0.88306132909884
1367,0.6118,-1
965,0.8352999999999999,0.7476490192465
1594,-1,0.83396306904864
249,0.8351,0.72064264840956
263,0.8331999999999999,0.7315339596163399
449,-1,0.80212461429944
1597,-1,0.84248995508491
969,1.0,-1
1338,0,-1
1452,-1,0.926521627954497
101,-1,0.81219122460103
945,0.8584,0.79286158604514
1071,0.8092,-1
725,1.0,0.79416797564666
1585,-1,0.7846394776416901
1794,-1,0.74979655728124
1164,0.8809,-1
710,-1,0.72066201142973
716,0.8378,0.80885364162336
334,0.9048,0.75077762959238
1788,0.8295,0.81783017741803
1746,0.9343,-1
1799,-1,0.80955808399123
1144,-1,0.7577751875190399
1236,0.8395,-1
374,0.8351999999999999,0.73708720214901
1109,0.8384,0.80797896471632
1674,-1,0.77706500231483
1448,0.9343,0.9464080762454921
1192,0.8831,-1
1510,0.8943,0.80468501897889
1130,0.8264,0.80414561750086
266,0.7787999999999999,0.73407243362658
769,0.8862,0.78065433344725
1255,0.8589,-1
922,-1,0.80920150535241
1003,0.8383,0.73211913327674
1302,0.8377,0.77451717872563
1965,-1,0.79788642575248
699,-1,0.6614401976436499
1241,0.943,-1
40,-1,0.84562422783721
1056,0.9021,0.72714719681437
1900,-1,0.78168128232248
1139,0.9471,0.81449097030854
534,-1,0.84449171739081
1295,0.8319,0.7549663543375
429,0.8363,0.75662289984367
1064,0.8309,0.7771248906042401
197,0.8374,0.81940574352551
1281,0.8345,0.7497654667346
568,-1,0.8048132599682
1943,0.886,0.81721598795996
163,0.8374,0.8761105959733599
1480,0.9202,-1
1934,0.8323,0.83852532199905
1858,-1,0.78168338109832
2006,-1,0.75832723051551
2003,-1,0.7470225223961999
1897,-1,0.78111912803589
1345,0.7811,-1
3,0.7396,-1
991,0.8447,-1
353,0.8311999999999999,0.76265783308632
1054,0.9457,-1
396,-1,0.82164691261324
406,-1,0.77975512428406
