Reconstruction Ruleset,closest0,closest1,closest2,closest3,closest4,closest5,closest6,closest7,closest8,closest9,DurationTurns_Expected,DurationTurns_Current,DurationTurnsStdDev_Expected,DurationTurnsStdDev_Current,DurationTurnsNotTimeouts_Expected,DurationTurnsNotTimeouts_Current,DecisionMoves_Expected,DecisionMoves_Current,BoardCoverageDefault_Expected,BoardCoverageDefault_Current,AdvantageP1_Expected,AdvantageP1_Current,Balance_Expected,Balance_Current,Completion_Expected,Completion_Current,Timeouts_Expected,Timeouts_Current,Drawishness_Expected,Drawishness_Current,PieceNumberAverage_Expected,PieceNumberAverage_Current,BoardSitesOccupiedAverage_Expected,BoardSitesOccupiedAverage_Current,BranchingFactorAverage_Expected,BranchingFactorAverage_Current,DecisionFactorAverage_Expected,DecisionFactorAverage_Current
Barail Ruleset/Barail (Ludii 7) (Reconstructed),Yahoudieh,Lange Puff,Paumecary,Ludus Lombardorum,Imperial,Kotra,Ludus Anglicorum Ruleset/Ludus Anglicorum (Described),Piprjall,Frangieh,Jacquet de Versailles,584.877,153.3,88.33950000000002,10.61,677.587,153.3,0.8775000000000001,0.9,0.8630000000000001,0.58,0.5035000000000001,0.58,0.9375,0.84,0.7525000000000001,1.0,0.24749999999999997,0.0,0.24749999999999997,0.0,25.331500000000002,23.22,0.48500000000000004,0.32,8.451,8.83,9.185999999999998,9.77
Barail Ruleset/Barail (Ludii 8) (Reconstructed),Ludus Lombardorum,Imperial,Ludus Anglicorum Ruleset/Ludus Anglicorum (Described),Garanguet,Baralie,Svensk Bradspel,Paumecary,Kotra,Frangieh,Ofanfelling,538.1635294117648,47.41,79.18941176470587,3.43,669.175294117647,47.41,0.8376470588235293,0.91,0.8211764705882354,0.58,0.5052941176470588,0.63,0.9305882352941176,0.74,0.7635294117647059,1.0,0.2364705882352941,0.0,0.2364705882352941,0.0,26.294117647058822,23.09,0.47941176470588237,0.33,8.081176470588236,6.22,9.006470588235295,6.75
Barail Ruleset/Barail (Ludii 9) (Reconstructed),Tavli,Tourne-Case,Baralie,Frangieh,Ludus Anglicorum Ruleset/Ludus Anglicorum (Described),Ludus Lombardorum,Backgammon,Imperial,Verquere,Paumecary,582.9257142857143,156.3,214.82285714285712,11.43,655.7590476190477,156.3,0.8114285714285712,0.89,0.9652380952380953,0.58,0.47095238095238107,0.62,0.8519047619047619,0.76,0.790952380952381,1.0,0.20904761904761904,0.0,0.20904761904761904,0.0,-22.958571428571428,22.88,-47.11666666666666,0.32,-40.360000000000014,8.87,-39.44714285714286,9.93
Barail Ruleset/Barail (Ludii 10) (Reconstructed),Ludus Anglicorum Ruleset/Ludus Anglicorum (Described),Garanguet,Ludus Lombardorum,Yahoudieh,Nard,Portes,Kotra,Imperial,Backgammon,Baralie,591.4336842105264,2500.0,194.33999999999995,0.0,649.5442105263159,2500.0,0.8378947368421052,0.04,0.868421052631579,0.58,0.5136842105263157,0.5,0.9242105263157896,1.0,0.756842105263158,0.0,0.24315789473684207,1.0,0.24315789473684207,1.0,26.900000000000002,30.0,0.49368421052631584,0.09,7.921052631578946,1.17,8.898421052631578,5.5
Macheng Ruleset/Macheng (Ludii 1) (Reconstructed),Niranchy,Xonin Shatar (Simple),Mylna,Triodi (Diagonal),Marelle Triple,Achi Ruleset/Murray (Described),Mulabalaba,Nerenchi Keliya,Sujjua,Nine Men's Morris,322.43549999999993,110.7,533.5920000000001,420.2,102.71049999999998,36.87,0.9669999999999999,0.98,0.8910000000000002,0.77,0.5785,0.54,0.6495,0.93,0.9045,0.97,0.09450000000000001,0.03,0.0955,0.03,11.572,7.93,0.48550000000000004,0.33,11.637499999999998,10.82,11.970499999999998,11.04
Macheng Ruleset/Macheng (Ludii 2) (Reconstructed),Nao Guti,Mlabalaba,La Chascona,Achi Ruleset/Murray (Described),Nine Men's Morris,Triodi,Nerenchi Keliya,Triodi (Diagonal),Twelve Men's Morris Ruleset/With Diagonal (Suggested),Mylna,349.52799999999996,54.97,567.0046666666666,245.8,122.73266666666667,30.27,0.9646666666666666,1.0,0.922,0.74,0.6099999999999999,0.56,0.6546666666666667,0.89,0.9,0.99,0.09866666666666668,0.01,0.10000000000000002,0.01,11.876666666666667,8.65,0.5080000000000001,0.36,10.914,11.93,11.272,11.93
Macheng Ruleset/Macheng (Ludii 3) (Reconstructed),Sam K'i,Nerenchi Keliya,Triodi,Mylna,Sujjua,Achi Ruleset/Murray (Described),Six Men's Morris Ruleset/Murray (Suggested),Niranchy,Triodi (Diagonal),Nine Men's Morris,318.7116666666667,99.75,513.4188888888889,351.2,103.33555555555554,50.77,0.9666666666666668,0.98,0.8794444444444445,0.87,0.5722222222222222,0.4,0.6400000000000001,0.8,0.9066666666666667,0.98,0.09277777777777778,0.02,0.09333333333333334,0.02,11.259444444444446,9.68,0.4883333333333333,0.4,11.434444444444445,9.86,11.767777777777777,10.04
Macheng Ruleset/Macheng (Ludii 4) (Reconstructed),Nerenchi Keliya,Tule Paid,Nine Men's Morris,Mulabalaba,Triodi (Diagonal),La Chascona,Mylna,Mlabalaba,Niranchy,Nao Guti,265.6247058823529,83.28,496.73529411764696,316.8,78.48941176470589,58.87,0.9617647058823531,0.98,0.8941176470588237,0.75,0.5852941176470589,0.51,0.6252941176470589,0.99,0.9205882352941177,0.99,0.07823529411764707,0.01,0.07941176470588236,0.01,11.922941176470587,8.25,0.49588235294117666,0.34,11.540588235294116,11.02,11.92470588235294,11.24
Macheng Ruleset/Macheng (Ludii 5) (Reconstructed),Triodi,Nerenchi Keliya,La Chascona,Nine Men's Morris,Marelle Triple,Mylna,Nao Guti,Twelve Men's Morris Ruleset/With Diagonal (Suggested),Achi Ruleset/Murray (Described),Fettas,422.21181818181816,85.72,628.1836363636363,344.9,143.96363636363637,36.45,0.9590909090909091,1.0,0.9063636363636363,0.84,0.54,0.41,0.7490909090909089,0.82,0.8781818181818182,0.98,0.12181818181818183,0.02,0.12181818181818183,0.02,11.57181818181818,10.1,0.5,0.42,10.738181818181818,10.65,11.146363636363638,10.66
Macheng Ruleset/Macheng (Ludii 6) (Reconstructed),Nerenchi Keliya,Tsoro Yemutwelve,Triodi (Diagonal),Fettas,La Chascona,Mulabalaba,Triodi,Tule Paid,Niranchy,Nine Men's Morris,265.62470588235294,34.34,496.73529411764696,6.18,78.48941176470589,34.34,0.9617647058823529,0.98,0.8941176470588237,0.75,0.5852941176470587,0.53,0.6252941176470589,0.94,0.9205882352941178,1.0,0.07823529411764707,0.0,0.07941176470588238,0.0,11.922941176470589,8.28,0.49588235294117644,0.34,11.540588235294118,11.2,11.924705882352939,11.42
