Reconstruction Ruleset,closest0,closest1,closest2,closest3,closest4,closest5,closest6,closest7,closest8,closest9,DurationTurns_Expected,DurationTurns_Current,DurationTurnsStdDev_Expected,DurationTurnsStdDev_Current,DurationTurnsNotTimeouts_Expected,DurationTurnsNotTimeouts_Current,DecisionMoves_Expected,DecisionMoves_Current,BoardCoverageDefault_Expected,BoardCoverageDefault_Current,AdvantageP1_Expected,AdvantageP1_Current,Balance_Expected,Balance_Current,Completion_Expected,Completion_Current,Timeouts_Expected,Timeouts_Current,Drawishness_Expected,Drawishness_Current,PieceNumberAverage_Expected,PieceNumberAverage_Current,BoardSitesOccupiedAverage_Expected,BoardSitesOccupiedAverage_Current,BranchingFactorAverage_Expected,BranchingFactorAverage_Current,DecisionFactorAverage_Expected,DecisionFactorAverage_Current
Ashanti Alignment Game Ruleset/Ashanti Alignment Game (Ludii 11) (Reconstructed),Les Pendus Ruleset/Les Pendus (Described),Picaria Ruleset/Zaslavsky 1 (Suggested),Six Men's Morris Ruleset/Cyningstan (Suggested),Tsoro Yemutatu,Wure Dune,Achi Ruleset/Wikipedia (Suggested),Tapatan,Achi Ruleset/Murray (Described),Five Men's Morris Ruleset/Murray (Suggested),Tre Guti,1070.4579310344827,11.0,134.79206896551725,0.0,1010.5541379310343,11.0,0.9820689655172414,0.73,0.9579310344827586,1.0,0.7037931034482758,0.5,0.5675862068965516,1.0,0.5889655172413794,0.0,0.41068965517241374,0.0,0.41103448275862065,1.0,7.338620689655174,5.25,0.5406896551724136,0.58,7.338275862068967,4.27,7.494827586206897,5.5
Ashanti Alignment Game Ruleset/Ashanti Alignment Game (Ludii 12) (Reconstructed),Les Pendus Ruleset/Les Pendus (Described),Tre Guti,Tsoro Yemutatu,Wure Dune,Five Men's Morris Ruleset/Murray (Suggested),Achi Ruleset/Wikipedia (Suggested),Tapatan,Picaria Ruleset/Zaslavsky 1 (Suggested),Achi Ruleset/Murray (Described),Six Men's Morris Ruleset/Cyningstan (Suggested),1070.4579310344827,11.0,134.79206896551725,0.0,1010.5541379310343,11.0,0.9820689655172413,0.73,0.9579310344827585,1.0,0.7037931034482758,0.5,0.5675862068965517,1.0,0.5889655172413792,0.0,0.41068965517241374,0.0,0.41103448275862065,1.0,7.338620689655174,5.25,0.5406896551724137,0.58,7.338275862068962,4.27,7.4948275862068945,5.5
Ashanti Alignment Game Ruleset/Ashanti Alignment Game (Ludii 13) (Reconstructed),Fettas,Wure Dune,Symbol S.2,Tule Paid,Three Men's Morris,Tsoro Yemutatu,Tapatan,Achi Ruleset/Wikipedia (Suggested),Les Pendus Ruleset/Les Pendus (Described),Five Men's Morris Ruleset/Murray (Suggested),362.19615384615383,19.6,196.52692307692308,1.0,271.56384615384616,19.6,0.9753846153846152,0.86,0.9203846153846155,1.0,0.7830769230769229,1.0,0.4057692307692307,0.0,0.8780769230769232,1.0,0.12153846153846154,0.0,0.12192307692307694,0.0,8.455384615384617,5.41,0.4803846153846153,0.6,8.691153846153844,3.92,8.914230769230768,4.38
Ashanti Alignment Game Ruleset/Ashanti Alignment Game (Ludii 14) (Reconstructed),Achi Ruleset/Murray (Described),Tre Guti,Tsoro Yemutatu,Wure Dune,Five Men's Morris Ruleset/Murray (Suggested),Picaria Ruleset/Zaslavsky 1 (Suggested),Tapatan,Les Pendus Ruleset/Les Pendus (Described),Achi Ruleset/Wikipedia (Suggested),Six Men's Morris Ruleset/Cyningstan (Suggested),1070.4579310344827,11.0,134.79206896551725,0.0,1010.5541379310343,11.0,0.9820689655172413,0.73,0.9579310344827587,1.0,0.7037931034482757,0.5,0.5675862068965517,1.0,0.5889655172413792,0.0,0.41068965517241374,0.0,0.41103448275862065,1.0,7.338620689655174,5.25,0.5406896551724136,0.58,7.338275862068963,4.27,7.4948275862068945,5.5
Ashanti Alignment Game Ruleset/Ashanti Alignment Game (Ludii 15) (Reconstructed),San-Noku-Narabe,Djara-Badakh,Round Merels Ruleset/Blumlein (Suggested),Six Men's Morris Ruleset/Cyningstan (Suggested),Les Pendus Ruleset/Les Pendus (Described),Picaria Ruleset/Zaslavsky 1 (Suggested),Katsela,Tsoro Yemutatu,Three Men's Morris,Tapatan,1628.15,2500.0,0.0,0.0,1628.15,2500.0,0.993,1.0,0.9875,1.0,0.675,0.5,0.65,1.0,0.35,0.0,0.65,1.0,0.65,1.0,5.449000000000001,5.99,0.5774999999999999,0.67,6.125500000000001,8.99,6.1530000000000005,8.99
Ashanti Alignment Game Ruleset/Ashanti Alignment Game (Ludii 16) (Reconstructed),Five Men's Morris Ruleset/Murray (Suggested),Tapatan,Tsoro Yemutatu,Achi Ruleset/Murray (Described),Six Men's Morris Ruleset/Cyningstan (Suggested),Wure Dune,Picaria Ruleset/Zaslavsky 1 (Suggested),Les Pendus Ruleset/Les Pendus (Described),Achi Ruleset/Wikipedia (Suggested),Tre Guti,1070.4579310344825,11.0,134.79206896551725,0.0,1010.5541379310343,11.0,0.9820689655172414,0.73,0.957931034482759,1.0,0.7037931034482758,0.5,0.5675862068965516,1.0,0.5889655172413794,0.0,0.4106896551724138,0.0,0.4110344827586207,1.0,7.338620689655172,5.25,0.5406896551724137,0.58,7.338275862068963,4.27,7.494827586206895,5.5
Ashanti Alignment Game Ruleset/Ashanti Alignment Game (Ludii 17) (Reconstructed),Les Pendus Ruleset/Les Pendus (Described),Picaria Ruleset/Zaslavsky 1 (Suggested),Six Men's Morris Ruleset/Cyningstan (Suggested),Tsoro Yemutatu,Wure Dune,Achi Ruleset/Wikipedia (Suggested),Tapatan,Achi Ruleset/Murray (Described),Five Men's Morris Ruleset/Murray (Suggested),Tre Guti,1070.4579310344827,11.0,134.79206896551725,0.0,1010.5541379310343,11.0,0.9820689655172414,0.73,0.9579310344827586,1.0,0.7037931034482758,0.5,0.5675862068965516,1.0,0.5889655172413794,0.0,0.41068965517241374,0.0,0.41103448275862065,1.0,7.338620689655174,5.25,0.5406896551724136,0.58,7.338275862068967,4.27,7.494827586206897,5.5
Ashanti Alignment Game Ruleset/Ashanti Alignment Game (Ludii 18) (Reconstructed),Wure Dune,Tsoro Yemutatu,Les Pendus Ruleset/Les Pendus (Described),Picaria Ruleset/Zaslavsky 1 (Suggested),Achi Ruleset/Murray (Described),Achi Ruleset/Wikipedia (Suggested),Tapatan,Five Men's Morris Ruleset/Murray (Suggested),Tre Guti,Six Men's Morris Ruleset/Cyningstan (Suggested),1070.4579310344825,11.0,134.79206896551725,0.0,1010.5541379310343,11.0,0.9820689655172415,0.73,0.9579310344827586,1.0,0.7037931034482758,0.5,0.5675862068965517,1.0,0.5889655172413794,0.0,0.4106896551724138,0.0,0.41103448275862065,1.0,7.3386206896551744,5.25,0.5406896551724137,0.58,7.338275862068966,4.27,7.494827586206896,5.5
Ashanti Alignment Game Ruleset/Ashanti Alignment Game (Ludii 19) (Reconstructed),Picaria Ruleset/Zaslavsky 1 (Suggested),Les Pendus Ruleset/Les Pendus (Described),Five Men's Morris Ruleset/Murray (Suggested),Wure Dune,Xonin Shatar (Simple),Tsoro Yemutatu,Six Men's Morris Ruleset/Cyningstan (Suggested),Katsela,Achi Ruleset/Wikipedia (Suggested),Achi Ruleset/Murray (Described),1118.1093333333333,11.0,130.299,0.0,1060.2023333333334,11.0,0.9826666666666666,0.73,0.9593333333333334,1.0,0.697,0.5,0.5820000000000001,1.0,0.5693333333333332,0.0,0.4303333333333333,0.0,0.43066666666666664,1.0,7.2936666666666685,5.25,0.545,0.58,7.393333333333333,4.27,7.544666666666666,5.5
Ashanti Alignment Game Ruleset/Ashanti Alignment Game (Ludii 20) (Reconstructed),Picaria Ruleset/Zaslavsky 1 (Suggested),Les Pendus Ruleset/Les Pendus (Described),Five Men's Morris Ruleset/Murray (Suggested),Wure Dune,Xonin Shatar (Simple),Tsoro Yemutatu,Six Men's Morris Ruleset/Cyningstan (Suggested),Achi Ruleset/Wikipedia (Suggested),Katsela,Achi Ruleset/Murray (Described),1118.1093333333333,11.0,130.299,0.0,1060.2023333333334,11.0,0.9826666666666666,0.73,0.9593333333333334,1.0,0.697,0.5,0.5820000000000001,1.0,0.5693333333333332,0.0,0.4303333333333333,0.0,0.43066666666666664,1.0,7.293666666666669,5.25,0.545,0.58,7.393333333333333,4.27,7.544666666666666,5.5
Ashanti Alignment Game Ruleset/Ashanti Alignment Game (Ludii 21) (Reconstructed),Six Men's Morris Ruleset/Cyningstan (Suggested),Mulabalaba,Six-Penny Madell,Gurgaldaj,Nao Guti,Tule Paid,Achi Ruleset/Murray (Described),Five Men's Morris Ruleset/Murray (Suggested),Marelle Triple,Tavan Tal,432.6742105263157,22.99,417.6326315789473,1.5,251.8584210526315,22.99,0.9726315789473684,0.88,0.9173684210526317,1.0,0.6584210526315789,0.5,0.5905263157894737,1.0,0.8621052631578947,0.0,0.13736842105263158,0.0,0.13789473684210524,1.0,11.908947368421051,10.14,0.5057894736842105,0.56,10.544736842105264,8.18,10.829473684210528,9.16
Ashanti Alignment Game Ruleset/Ashanti Alignment Game (Ludii 22) (Reconstructed),Xonin Shatar (Simple),Nao Guti,Tule Paid,Gurgaldaj,Achi Ruleset/Murray (Described),Mulabalaba,Six Men's Morris Ruleset/Murray (Suggested),Five Men's Morris Ruleset/Murray (Suggested),Six-Penny Madell,Five Men's Morris Ruleset/Cyningstan (Suggested),473.6366666666667,176.3,563.9526666666665,587.0,157.81266666666667,28.05,0.9679999999999999,0.97,0.9206666666666667,0.82,0.6439999999999999,0.72,0.5573333333333333,0.56,0.8520000000000001,0.94,0.14733333333333334,0.06,0.148,0.06,11.13933333333333,6.45,0.506,0.36,9.751999999999999,8.12,10.068666666666667,8.35
Ashanti Alignment Game Ruleset/Ashanti Alignment Game (Ludii 23) (Reconstructed),Marelle Triple,Mulabalaba,Six-Penny Madell,Tavan Tal,Six Men's Morris Ruleset/Cyningstan (Suggested),Achi Ruleset/Murray (Described),Gurgaldaj,Five Men's Morris Ruleset/Murray (Suggested),Tule Paid,Nao Guti,453.1683333333333,23.18,440.52611111111105,1.36,262.30722222222215,23.18,0.9716666666666668,0.88,0.923888888888889,1.0,0.6572222222222224,0.5,0.5877777777777777,1.0,0.8544444444444445,0.0,0.145,0.0,0.14555555555555555,1.0,11.620555555555555,10.11,0.5111111111111112,0.56,10.118888888888886,8.17,10.405000000000001,9.14
Ashanti Alignment Game Ruleset/Ashanti Alignment Game (Ludii 24) (Reconstructed),Six Men's Morris Ruleset/Cyningstan (Suggested),Mulabalaba,Six-Penny Madell,Marelle Triple,Nao Guti,Tule Paid,Achi Ruleset/Murray (Described),Five Men's Morris Ruleset/Murray (Suggested),Gurgaldaj,Tavan Tal,453.1683333333333,23.08,440.52611111111105,1.43,262.3072222222222,23.08,0.9716666666666666,0.88,0.923888888888889,1.0,0.6572222222222223,0.5,0.5877777777777777,1.0,0.8544444444444446,0.0,0.145,0.0,0.14555555555555558,1.0,11.620555555555557,10.13,0.5111111111111111,0.56,10.11888888888889,8.18,10.405000000000001,9.17
Ashanti Alignment Game Ruleset/Ashanti Alignment Game (Ludii 25) (Reconstructed),Six-Penny Madell,Tule Paid,Gurgaldaj,Tavan Tal,Marelle Triple,Six Men's Morris Ruleset/Murray (Suggested),Triodi (Diagonal),Triodi,Nine Men's Morris,Nerenchi Keliya,372.6695238095238,262.4,555.8033333333333,689.2,134.71285714285716,67.86,0.9619047619047618,0.95,0.9257142857142856,0.99,0.6552380952380953,0.67,0.5852380952380953,0.67,0.8909523809523809,0.85,0.10809523809523808,0.08,0.10904761904761905,0.15,11.589523809523811,10.58,0.5085714285714286,0.59,10.127619047619046,8.23,10.495714285714286,8.61
Ashanti Alignment Game Ruleset/Ashanti Alignment Game (Ludii 26) (Reconstructed),Tule Paid,Tavan Tal,Triodi,Xonin Shatar (Simple),Triodi (Diagonal),Fettas,Nao Guti,Six-Penny Madell,Gurgaldaj,Six Men's Morris Ruleset/Murray (Suggested),192.5906666666667,212.3,395.5713333333333,627.6,59.897333333333336,40.18,0.9639999999999999,0.94,0.914,0.99,0.7186666666666668,0.74,0.4926666666666667,0.52,0.9446666666666668,0.86,0.05466666666666667,0.07,0.05533333333333334,0.14,11.504000000000001,10.59,0.48866666666666664,0.59,10.518666666666666,7.1,10.866666666666667,7.48
Ashanti Alignment Game Ruleset/Ashanti Alignment Game (Ludii 27) (Reconstructed),Mlabalaba,Triodi (Diagonal),Achi Ruleset/Murray (Described),Mulabalaba,Six Men's Morris Ruleset/Cyningstan (Suggested),Gurgaldaj,Xonin Shatar (Simple),Five Men's Morris Ruleset/Murray (Suggested),Six-Penny Madell,Tule Paid,762.634,2500.0,357.2593333333333,0.0,627.4793333333334,2500.0,0.9713333333333334,1.0,0.9486666666666665,0.81,0.6693333333333334,0.5,0.6133333333333334,1.0,0.7306666666666667,0.0,0.2686666666666666,1.0,0.26933333333333326,1.0,10.865999999999998,4.0,0.5640000000000001,0.22,8.339999999999998,16.35,8.619999999999997,16.35
Ashanti Alignment Game Ruleset/Ashanti Alignment Game (Ludii 28) (Reconstructed),Five Men's Morris Ruleset/Murray (Suggested),Zurgaan Tal,Nao Guti,Gurgaldaj,Mulabalaba,Tule Paid,Six Men's Morris Ruleset/Cyningstan (Suggested),Achi Ruleset/Murray (Described),Tavan Tal,Six-Penny Madell,428.3311764705882,23.03,399.3217647058823,1.97,271.21352941176474,23.03,0.9699999999999999,0.88,0.9305882352941176,1.0,0.6535294117647058,0.5,0.5894117647058823,1.0,0.8647058823529413,0.0,0.13470588235294118,0.0,0.13529411764705881,1.0,11.756470588235295,10.18,0.5182352941176471,0.57,9.561764705882354,8.18,9.864705882352942,9.17
Ashanti Alignment Game Ruleset/Ashanti Alignment Game (Ludii 29) (Reconstructed),Five Men's Morris Ruleset/Murray (Suggested),Altan Xaraacaj,Gurgaldaj,Tule Paid,Triodi (Diagonal),Xonin Shatar (Simple),Triodi,Tavan Tal,Nao Guti,Six-Penny Madell,180.85411764705884,19.55,256.6823529411765,2.02,94.78176470588237,19.55,0.9617647058823531,0.95,0.8905882352941177,0.73,0.7047058823529412,0.89,0.5111764705882353,0.22,0.9558823529411765,1.0,0.04352941176470589,0.0,0.04411764705882354,0.0,11.977647058823527,5.77,0.4782352941176471,0.32,10.831176470588236,8.35,11.231176470588235,8.72
Ashanti Alignment Game Ruleset/Ashanti Alignment Game (Ludii 30) (Reconstructed),Six-Penny Madell,Five Men's Morris Ruleset/Murray (Suggested),Triodi (Diagonal),Round Merels Ruleset/Blumlein (Suggested),Ratti-Chitti-Bakri,Gurgaldaj,Tule Paid,Six Men's Morris Ruleset/Cyningstan (Suggested),Tre Guti,Challis Ghutia (Titagarh) Ruleset/Challis Ghutia (Titagarh) (Observed),1457.5803999999998,2500.0,214.3556,0.0,1376.4876000000002,2500.0,0.9627999999999999,1.0,0.9692000000000002,1.0,0.6015999999999999,0.5,0.7680000000000001,1.0,0.4384,0.0,0.5611999999999999,1.0,0.5615999999999999,1.0,15.0504,4.0,0.5968000000000001,0.22,9.191200000000002,6.15,9.4192,6.15
Ashanti Alignment Game Ruleset/Ashanti Alignment Game (Ludii 31) (Reconstructed),Tule Paid,Triodi (Diagonal),Gurgaldaj,Mulabalaba,Wari (Alignment),Jeson Zam,Triodi,Zurgaan Tal,Nao Guti,Six-Penny Madell,92.37857142857142,65.68,217.66142857142856,12.24,57.80142857142858,65.68,0.9592857142857142,0.98,0.8792857142857143,0.89,0.7442857142857141,0.64,0.5107142857142858,0.72,0.985,1.0,0.014285714285714287,0.0,0.015000000000000001,0.0,11.934999999999999,16.69,0.46571428571428575,0.46,11.190714285714288,15.28,11.61642857142857,15.57
Ashanti Alignment Game Ruleset/Ashanti Alignment Game (Ludii 32) (Reconstructed),Nao Guti,Six Men's Morris Ruleset/Murray (Suggested),Zurgaan Tal,Marelle Triple,Five Men's Morris Ruleset/Murray (Suggested),Tule Paid,Achi Ruleset/Murray (Described),Gurgaldaj,Wari (Alignment),Triodi (Diagonal),288.024,55.27,396.06,8.81,117.47150000000002,55.27,0.969,0.98,0.897,0.79,0.724,0.55,0.5154999999999997,0.9,0.9195,1.0,0.08,0.0,0.0805,0.0,11.4495,14.26,0.4835,0.4,10.8185,15.49,11.136999999999999,15.76
Ashanti Alignment Game Ruleset/Ashanti Alignment Game (Ludii 33) (Reconstructed),Triodi (Diagonal),Nao Guti,Six Men's Morris Ruleset/Murray (Suggested),Five Men's Morris Ruleset/Cyningstan (Suggested),Achi Ruleset/Murray (Described),Tule Paid,Tsoro Yemutwelve,Fettas,Zurgaan Tal,Six Men's Morris Ruleset/Cyningstan (Suggested),423.18160000000006,91.47,427.23040000000003,242.3,213.19519999999994,67.14,0.9675999999999998,0.98,0.8964000000000002,0.91,0.6648000000000001,0.66,0.5775999999999999,0.69,0.8392000000000002,0.99,0.1368,0.01,0.16079999999999997,0.01,11.566400000000002,17.72,0.4932000000000001,0.49,10.607200000000002,14.95,10.9652,15.27
Ashanti Alignment Game Ruleset/Ashanti Alignment Game (Ludii 34) (Reconstructed),Six-Penny Madell,Tavan Tal,Xonin Shatar (Simple),Zurgaan Tal,Fettas,Nao Guti,Triodi (Diagonal),Mulabalaba,Gurgaldaj,Tule Paid,111.80500000000002,119.1,294.729,340.3,60.952,70.54,0.9529999999999997,0.98,0.9200000000000002,0.94,0.7050000000000001,0.64,0.48599999999999993,0.72,0.9780000000000001,0.98,0.020999999999999998,0.02,0.022,0.02,12.165,18.94,0.49399999999999994,0.53,10.220999999999998,14.5,10.69,14.85
Ashanti Alignment Game Ruleset/Ashanti Alignment Game (Ludii 35) (Reconstructed),Triodi (Diagonal),Tule Paid,Five Men's Morris Ruleset/Murray (Suggested),Nao Guti,Achi Ruleset/Murray (Described),Gurgaldaj,Six Men's Morris Ruleset/Murray (Suggested),Zurgaan Tal,Mulabalaba,Xonin Shatar (Simple),257.10947368421057,48.78,356.85263157894735,11.09,117.81736842105259,48.78,0.9673684210526315,0.98,0.9015789473684211,0.71,0.7242105263157895,0.62,0.5131578947368421,0.76,0.9321052631578948,1.0,0.06736842105263159,0.0,0.06789473684210527,0.0,11.562105263157894,12.48,0.4884210526315789,0.35,10.356842105263159,15.51,10.692105263157893,15.83
Ashanti Alignment Game Ruleset/Ashanti Alignment Game (Ludii 36) (Reconstructed),Six-Penny Madell,Twelve Men's Morris Ruleset/With Diagonal (Suggested),Five Men's Morris Ruleset/Murray (Suggested),Six Men's Morris Ruleset/Cyningstan (Suggested),Tsoro Yemutwelve,Tule Paid,Achi Ruleset/Murray (Described),Five Men's Morris Ruleset/Cyningstan (Suggested),Round Merels Ruleset/Blumlein (Suggested),Zurgaan Tal,1170.3157142857142,2500.0,362.61678571428564,0.0,983.7010714285714,2500.0,0.9821428571428571,1.0,0.9507142857142857,0.48,0.6110714285714286,0.5,0.7317857142857143,1.0,0.5560714285714285,0.0,0.4432142857142858,1.0,0.4439285714285715,1.0,9.652500000000002,4.0,0.5407142857142858,0.11,8.310714285714285,6.7,8.485357142857142,6.7
Ashanti Alignment Game Ruleset/Ashanti Alignment Game (Ludii 37) (Reconstructed),Five Men's Morris Ruleset/Murray (Suggested),Triodi (Diagonal),Tule Paid,Gurgaldaj,Mulabalaba,Triodi,Nao Guti,Achi Ruleset/Murray (Described),Six-Penny Madell,Zurgaan Tal,325.53499999999997,50.15,433.16214285714284,11.85,143.5057142857143,50.15,0.9678571428571426,0.94,0.9271428571428572,0.99,0.6757142857142858,0.55,0.5964285714285714,0.91,0.9107142857142857,0.11,0.08857142857142859,0.0,0.0892857142857143,0.89,11.514285714285714,19.7,0.5042857142857143,0.55,9.668571428571429,15.91,9.98857142857143,16.81
Ashanti Alignment Game Ruleset/Ashanti Alignment Game (Ludii 38) (Reconstructed),Xonin Shatar (Simple),Nao Guti,Five Men's Morris Ruleset/Murray (Suggested),Achi Ruleset/Murray (Described),Tule Paid,Twelve Men's Morris Ruleset/Board Game Geek (Suggested),Triodi,Jeson Zam,Zurgaan Tal,Triodi (Diagonal),322.0847368421053,54.06,474.2352631578948,15.91,123.3878947368421,54.06,0.97,0.95,0.9110526315789474,0.99,0.6752631578947369,0.54,0.5568421052631578,0.92,0.9073684210526315,0.24,0.09210526315789475,0.0,0.09263157894736843,0.76,11.576315789473682,19.84,0.4921052631578947,0.55,10.664736842105263,16.99,10.964210526315789,17.85
Ashanti Alignment Game Ruleset/Ashanti Alignment Game (Ludii 39) (Reconstructed),Six-Penny Madell,Achi Ruleset/Murray (Described),Five Men's Morris Ruleset/Murray (Suggested),Gurgaldaj,Tule Paid,Triodi,Twelve Men's Morris Ruleset/With Diagonal (Suggested),Six Men's Morris Ruleset/Murray (Suggested),Nao Guti,Zurgaan Tal,344.5523529411765,99.63,493.36882352941166,344.0,130.99117647058824,50.64,0.9711764705882354,0.98,0.9241176470588237,0.68,0.6882352941176471,0.56,0.58,0.88,0.8999999999999999,0.98,0.09941176470588238,0.02,0.10000000000000002,0.02,11.474705882352941,11.82,0.4988235294117647,0.33,10.516470588235295,15.14,10.801764705882352,15.47
Ashanti Alignment Game Ruleset/Ashanti Alignment Game (Ludii 40) (Reconstructed),Five Men's Morris Ruleset/Murray (Suggested),Nao Guti,Twelve Men's Morris Ruleset/Board Game Geek (Suggested),Zurgaan Tal,Achi Ruleset/Murray (Described),Tule Paid,Bolotudu,Six-Penny Madell,Five Men's Morris Ruleset/Cyningstan (Suggested),Marelle Triple,402.03642857142853,59.82,431.12142857142857,16.66,198.12571428571428,59.82,0.9635714285714283,0.94,0.8853571428571428,0.99,0.6764285714285714,0.57,0.5646428571428571,0.85,0.8496428571428571,0.47,0.12892857142857142,0.0,0.15035714285714286,0.53,12.299285714285716,19.46,0.48714285714285727,0.54,11.682142857142853,15.17,12.263214285714282,16.04
Yup'ik Checkers Ruleset/Yup'ik Checkers (Ludii 1) (Reconstructed),English Draughts,Jekab,Moo,American Pool Checkers,Coc-Inbert,Damspel,Damenspiel,Bashni,Brazilian Draughts,Pleasant Draughts,725.0571428571428,1408.0,791.8571428571429,1163.0,299.2164285714285,226.4,0.8628571428571428,0.93,0.5321428571428571,0.5,0.43928571428571433,0.45,0.6864285714285714,0.89,0.7792857142857145,0.47,0.205,0.52,0.2207142857142857,0.53,12.412142857142856,7.7,0.18428571428571433,0.12,8.069285714285716,6.05,9.001428571428571,6.49
Yup'ik Checkers Ruleset/Yup'ik Checkers (Ludii 2) (Reconstructed),Damenspiel,Shashki,Tama Ruleset/Tama (Observed),Damas,Moo,Brazilian Draughts,Pleasant Draughts,Shatr ikh Padan,Main Dam,English Draughts,930.12,2500.0,764.8066666666666,0.0,512.542,2500.0,0.8993333333333333,0.5,0.55,0.82,0.41600000000000004,0.5,0.7573333333333333,1.0,0.7080000000000001,0.0,0.2773333333333334,1.0,0.292,1.0,11.080666666666666,19.94,0.17399999999999996,0.31,8.361333333333333,14.5,9.072666666666667,27.91
Pasakakrida (Type 1) Ruleset/Pasakakrida (Type 1) (Two Four-Sided Dice) (Ludii 1) (Reconstructed),Laquet,Fallas,Seys Dos y As,Cab e Quinal Ruleset/Fixed Die (Described),Quinze Tablas,Todas Tablas,Pareia de Entrada Ruleset/Pareia de Entrada (Described),Emperador,Medio Emperador Ruleset/Medio Emperador (Described),Doblet,541.455,48.76,154.92285714285714,7.79,626.5407142857142,48.76,0.8992857142857142,0.91,0.9600000000000001,0.96,0.5142857142857143,0.0,0.7599999999999999,0.0,0.8171428571428571,1.0,0.18285714285714286,0.0,0.18285714285714286,0.0,22.23214285714286,23.77,0.5307142857142857,0.37,14.917857142857143,5.74,15.788571428571432,6.22
Pasakakrida (Type 1) Ruleset/Pasakakrida (Type 1) (Two Four-Sided Dice) (Ludii 2) (Reconstructed),Todas Tablas,Fallas,Pareia de Entrada Ruleset/Pareia de Entrada (Described),Quinze Tablas,Cab e Quinal Ruleset/Cab e Quinal (Described),Emperador,Seys Dos y As,Cab e Quinal Ruleset/Fixed Die (Described),Medio Emperador Ruleset/Medio Emperador (Described),Doblet,472.7335294117648,43.92,136.58235294117645,4.51,542.8041176470588,43.92,0.8988235294117648,0.95,0.9423529411764706,0.94,0.5129411764705882,0.0,0.7905882352941175,0.0,0.8494117647058824,1.0,0.15058823529411766,0.0,0.15058823529411766,0.0,23.055882352941175,26.68,0.521764705882353,0.44,13.572941176470588,6.24,14.383529411764707,6.54
Pasakakrida (Type 1) Ruleset/Pasakakrida (Type 1) (Two Four-Sided Dice) (Ludii 3) (Reconstructed),Laquet,Medio Emperador Ruleset/Medio Emperador (Described),Seys Dos y As,Quinze Tablas,Fallas,Todas Tablas,Pareia de Entrada Ruleset/Pareia de Entrada (Described),Cab e Quinal Ruleset/Fixed Die (Described),Emperador,Doblet,589.7966666666667,52.42,125.11500000000001,4.39,703.9466666666667,52.42,0.9325,0.97,0.9633333333333334,0.99,0.49583333333333335,0.04,0.7616666666666666,0.08,0.7933333333333333,1.0,0.2066666666666667,0.0,0.2066666666666667,0.0,21.755000000000006,25.61,0.5391666666666667,0.51,16.498333333333335,7.89,17.18666666666667,8.11
Pasakakrida (Type 1) Ruleset/Pasakakrida (Type 1) (Two Four-Sided Dice) (Ludii 4) (Reconstructed),Buffa de Baldrac,Laquet,Doblet,Emperador,Seys Dos y As,Todas Tablas,Quinze Tablas,Baralie,Medio Emperador Ruleset/Medio Emperador (Described),Pareia de Entrada Ruleset/Pareia de Entrada (Described),492.054375,56.67,143.93624999999997,10.28,566.504375,56.67,0.910625,0.85,0.9387500000000001,0.94,0.5118750000000001,0.55,0.78125,0.9,0.84,1.0,0.16,0.0,0.16,0.0,22.834375,23.38,0.526875,0.41,14.145624999999999,6.16,14.920000000000002,7.06
Pasakakrida (Type 1) Ruleset/Pasakakrida (Type 1) (Two Four-Sided Dice) (Ludii 5) (Reconstructed),Doblet,Laquet,Seys Dos y As,Fallas,Ssang-Ryouk,Cab e Quinal Ruleset/Fixed Die (Described),Todas Tablas,Emperador,Medio Emperador Ruleset/Medio Emperador (Described),Buffa de Baldrac,514.5361538461539,65.33,141.09384615384616,2.51,609.1438461538462,65.33,0.8915384615384615,0.96,0.956923076923077,1.0,0.5123076923076924,0.29,0.7469230769230768,0.58,0.806923076923077,1.0,0.1930769230769231,0.0,0.1930769230769231,0.0,22.651538461538465,24.49,0.5323076923076923,0.49,15.08846153846154,7.33,16.024615384615384,7.58
Pasakakrida (Type 1) Ruleset/Pasakakrida (Type 1) (Two Four-Sided Dice) (Ludii 6) (Reconstructed),Todas Tablas,Cab e Quinal Ruleset/Fixed Die (Described),Quinze Tablas,Laquet,Pareia de Entrada Ruleset/Pareia de Entrada (Described),Medio Emperador Ruleset/Medio Emperador (Described),Seys Dos y As,Fallas,Emperador,Doblet,578.7353846153846,52.39,162.71384615384616,5.47,670.3661538461539,52.39,0.8961538461538461,0.95,0.9661538461538461,0.99,0.49615384615384617,0.97,0.78,0.06,0.803076923076923,1.0,0.19692307692307692,0.0,0.19692307692307692,0.0,22.06923076923077,25.45,0.5376923076923076,0.5,15.543846153846156,7.83,16.453076923076924,8.21
Pasakakrida (Type 1) Ruleset/Pasakakrida (Type 1) (Two Four-Sided Dice) (Ludii 7) (Reconstructed),Doblet,Laquet,Emperador,Fallas,Cab e Quinal Ruleset/Fixed Die (Described),Seys Dos y As,Buffa de Baldrac,Todas Tablas,Medio Emperador Ruleset/Medio Emperador (Described),Quinze Tablas,562.3781818181819,50.0,106.06181818181818,11.58,690.4236363636363,50.0,0.9263636363636363,0.89,0.9600000000000001,0.98,0.49181818181818177,1.0,0.7463636363636365,0.0,0.7790909090909092,1.0,0.22090909090909092,0.0,0.22090909090909092,0.0,22.20727272727273,24.8,0.5418181818181819,0.45,16.843636363636367,7.11,17.59272727272727,7.88
