Id,geacron_similarity,concept_similarity
1034,-1,0.7237267509609
463,-1,0.83893451608983
1900,-1,0.7510894133175701
1785,-1,0.7134590465556601
740,-1,0.73828360429607
439,-1,0.7359900964172801
98,-1,0.7134865789276901
1730,-1,0.76775949651989
970,-1,0.7754107968652599
220,-1,0.77272766529294
892,-1,-1
1917,-1,0.75109450739079
116,-1,0.6708230861136599
599,-1,0.8001140333198999
205,-1,0.74334560627277
447,-1,0.73424414102693
631,-1,0.7292495494368
1367,-1,-1
1783,-1,0.71302919574753
1092,-1,-1
1412,-1,0.70656498183157
44,-1,0.945223560690689
556,-1,0.79383313476839
1259,-1,-1
1091,-1,-1
1731,-1,0.78098154319742
128,-1,0.73415897895544
1206,-1,0.87966422897559
2080,-1,0.81506804230194
467,-1,0.7467329509504901
1426,-1,0.9175832179401819
846,-1,0.8186535751768
1958,-1,-1
1317,-1,0.75821328428061
199,-1,0.80494189450315
1976,-1,0.74428048812979
170,-1,0.7771322517379899
612,-1,0.78719591173547
156,-1,0.7901031089063
773,-1,0.75299592831776
138,-1,-1
1903,-1,0.7511529530652
760,-1,0.8068811828275599
695,-1,0.66913145150549
551,-1,0.8335940176689001
724,-1,0.79031563831715
32,-1,-1
369,-1,0.78145850670852
189,-1,0.77107014393562
1543,-1,0.84347308532768
1109,-1,0.75204531828373
1636,-1,-1
17,-1,0.78757073699861
1500,-1,-1
710,-1,0.7023758388028001
1060,-1,0.78219677638993
123,-1,0.71261920560492
731,-1,0.79787941411015
344,-1,0.79248766651364
1510,-1,0.71826445244269
1744,-1,-1
1796,-1,0.78351697983938
1674,-1,0.74569641044877
355,-1,-1
681,-1,0.81230210770455
1850,-1,0.7519807302279999
893,-1,-1
1753,-1,-1
854,-1,0.89965606085663
1340,-1,-1
1627,-1,0.83534946377968
1172,-1,-1
715,-1,0.74587908921953
1892,-1,0.7520000854173701
432,-1,0.72509283108221
2100,-1,0.76721903616423
1735,-1,0.83169272114462
210,-1,-1
303,-1,-1
630,-1,0.7409734352974999
1697,-1,0.74479886846028
254,-1,0.76956282016747
1182,-1,-1
1161,-1,0.6811069719977201
264,-1,0.77142544750026
1878,-1,0.75192864521201
2025,-1,0.78302318266744
1385,-1,0.7444427874327499
1804,-1,0.67373139859611
1136,-1,-1
1738,-1,0.74577295851622
1916,-1,0.75108793161935
135,-1,0.78243196324688
955,-1,0.7586418094666401
1797,-1,0.7927400657964501
648,-1,0.80327424493489
1561,-1,-1
72,-1,0.78681772561521
1438,-1,0.86387113374052
1427,-1,-1
310,-1,-1
301,-1,0.8877127149123301
185,-1,0.78802562689669
1827,-1,0.76205193513173
964,-1,0.68603517944257
461,-1,0.933964191678991
831,-1,-1
1921,-1,0.75115571378557
554,-1,0.77062918594147
347,-1,0.78440163455773
746,-1,-1
165,-1,0.80009805479285
550,-1,0.73559842461421
1184,-1,0.8034174597277
1961,-1,0.78546469662523
1293,-1,0.79800543150152
836,-1,0.8043167209704201
1565,-1,0.73751183469196
451,-1,0.7855957236468
1808,-1,0.7588144927998
972,-1,0.74467481611583
1042,-1,0.7415183124748099
1759,-1,-1
1236,-1,-1
1483,-1,0.76143765105451
1345,-1,-1
1566,-1,0.78970007045095
1891,-1,0.7511561761307299
1647,-1,0.80756433500674
540,-1,0.79819544674074
788,-1,-1
1993,-1,0.80118805520403
1396,-1,0.914012569298345
1375,-1,0.7829531402495999
1463,-1,0.8423389537417301
713,-1,0.78847380926055
279,-1,0.7624636039611901
1425,-1,0.7071157691919
1380,-1,-1
1154,-1,0.66649002249933
721,-1,0.77896300349324
638,-1,0.76097089059483
1110,-1,-1
656,-1,0.68387476923468
616,-1,0.64424861012043
1350,-1,-1
268,-1,0.74881131779652
1107,-1,0.77912816471392
1188,-1,0.8061904932228701
808,-1,0.82776360464934
182,-1,-1
818,-1,0.77939103588546
729,-1,0.81585404913655
564,-1,-1
1814,-1,0.74455330971732
153,-1,-1
1269,-1,-1
233,-1,0.77966765393122
14,-1,-1
231,-1,0.77887595259743
2013,-1,0.8151729642086
2058,-1,0.76051461756527
194,-1,0.81819867139358
1280,-1,0.7453791797084299
1524,-1,-1
289,-1,0.7626807529532
2057,-1,0.78302232950016
1352,-1,-1
1145,-1,0.78264061281706
1698,-1,0.7456836825603099
1175,-1,0.75463193266504
699,-1,0.63980970289465
1454,-1,0.75202237890779
222,-1,0.74038393318052
1241,-1,-1
1319,-1,0.76518968706048
1597,-1,0.77720575101359
539,-1,0.78938152195367
280,-1,0.73269304958362
1466,-1,0.81968875156663
263,-1,0.76437115355858
1464,-1,0.8426630731992
317,-1,-1
583,-1,-1
129,-1,0.75426244158908
307,-1,0.85044910258225
1344,-1,0.7146272450357201
1898,-1,0.7428367054467799
840,-1,0.78848898950996
179,-1,0.8280509189026
163,-1,0.80498351547723
2072,-1,0.8150880182158999
897,-1,0.77407596371871
1147,-1,0.6783824362831901
646,-1,0.80327656810808
952,-1,0.7052026601375501
573,-1,0.77024145863911
1982,-1,0.75277337703743
723,-1,0.72965503883133
1391,-1,0.67428656817408
1169,-1,0.7988894002328499
1563,-1,0.70716496120853
876,-1,0.80934339487879
223,-1,0.76943512900385
596,-1,0.8309449312069099
1686,-1,0.7456818132184
1224,-1,0.8128988050219
920,-1,0.74860777038572
682,-1,0.7375786047043
1101,-1,-1
1694,-1,0.74563220914203
1349,-1,-1
180,-1,0.79717381574075
225,-1,-1
62,-1,0.79091491289316
2077,-1,0.81974357317931
1046,-1,0.75376659468169
444,-1,0.76614292610845
1914,-1,0.75114444970503
895,-1,0.78008701064669
1787,-1,0.7645868289379301
325,-1,0.77462783606381
