Id,geacron_similarity,concept_similarity
292,0.8927,0.903132652905995
314,0.8306,0.77472285709887
50,0.9419,0.7244436404078001
1368,0.9414,0.75568881679128
2082,-1,0.78533578914889
639,-1,0.80522223345883
27,0.9994,0.9396524390193111
1167,0.8946000000000001,0.80007131685968
856,-1,0.7424996720202299
1237,0.9237,-1
906,0.9460999999999999,0.70703613173571
82,-1,0.67016014214903
277,0.8966,0.909646952368747
596,0.9197,0.74937173671815
2039,0.7892,-1
329,0.8947,0.81317898306058
1743,0.7649,-1
1916,-1,0.74429132952306
1042,0.8986,0.74999088357108
897,0.9452,0.74995704100572
1985,-1,0.71441929258743
1383,0.8978,0.84998488257544
966,0.9453,0.8957810872587
2025,-1,0.78819249471127
1509,0,-1
756,-1,0.76956657758098
630,-1,0.75900103284402
251,0.9455,0.89336167517397
996,0.8523000000000001,-1
681,-1,0.7534689142725199
1673,-1,0.75846241552994
1213,-1,0.76611991540067
1849,-1,0.7416697528678
1192,0.9475,-1
119,-1,0.63468309958085
711,0.9445,0.72672082697436
1781,-1,0.71811109556469
1013,-1,0.7310914921226199
1868,-1,0.74348367269951
1442,0.7532,0.73480158590473
1279,0.9414,-1
694,-1,0.75702321778455
1330,0.8273,0.71673933883885
1813,-1,0.73425335401019
9,0.6202,-1
94,0.7419,-1
275,0.9449,0.92402217445437
387,0,0.71491253044903
1450,0.9394,0.70460712213999
1703,-1,0.75845627036916
715,0.9456,0.73398267988927
1928,0.9463,-1
767,0.9454,0.76971385617188
1180,0,-1
156,0.9444,0.73497662462286
1427,0.8443,-1
1803,-1,0.7268516467923001
886,0.8765000000000001,-1
750,0.9432,0.7634237583137
1606,-1,0.74284199703653
1079,0.9493,0.78587127573883
1707,-1,0.75970662403611
1454,0.8958,0.72437464325591
1438,0.8723,0.71932155983145
436,0.9435,0.8615638840438999
1339,0,-1
456,-1,0.7427471991892001
1721,-1,0.75483236705255
929,-1,0.77913287154962
905,0.9460999999999999,0.7371564269177
585,0.943,-1
1369,0.7019,-1
1225,0.9441,-1
656,-1,0.70263688625345
1407,0.914,-1
296,0.9408,0.7317606055669801
187,0.8954,0.9115698657454749
674,-1,0.74435595372092
530,0.6486000000000001,-1
196,0.9289000000000001,0.53158548760307
1893,-1,0.74351409226568
1367,0.8236,-1
1511,0.8137,-1
32,0.7651,-1
977,0.9421,0.73180862688501
428,0.9478,0.87671134087351
1105,-1,0.77202171608972
1816,-1,0.74374944022443
765,0.9449,0.75616537963587
330,0.8967,0.78703142404271
1855,-1,0.74168246229693
1332,0.832,0.7105008266558199
661,0.9994,0.932503957729428
736,0.8306,0.76016893082437
1795,-1,0.72310188013342
858,-1,0.72821107381129
164,0.8902,0.76681376017073
455,-1,0.73859275065705
2107,-1,0.7436751007102
634,-1,0.72912682604308
38,0.9456,0.73400573043215
1471,0.9455,-1
1363,0.8493999999999999,-1
1837,-1,0.7463875129019699
1912,-1,0.74349760863964
1696,-1,0.75909136493956
1211,0.8918,-1
2027,-1,0.7692127997854
398,-1,0.6556045546300999
899,0.9457,0.70757370449058
294,0.8632,0.73396984251634
940,0.9427,0.925631277710391
1575,0.9487,0.75472999420623
1871,-1,0.74210967867729
1618,-1,0.72352452187358
640,-1,0.87859211152649
772,0.7105,0.7073311333821399
1005,0.8989,-1
1676,-1,0.76044100341206
1847,-1,0.74206834416618
818,0.8885,0.80798212612487
898,0.9458,0.76211148475189
2053,0.8933,-1
1645,-1,0.76876510946517
1873,-1,0.74170458689039
1741,0.7649,-1
1654,-1,0.7373615758815399
1762,-1,0.78601818770529
1344,0.8953,0.7360773020174001
1747,0.7649,-1
22,0.9429,0.78237088383444
154,0.9424,0.69800135913262
223,0.9423,0.916874236038543
801,0.25239999999999996,-1
385,-1,0.71286953156204
589,0.9448,0.75482120382587
1607,-1,0.75625460525646
1578,0.9487,0.7894836874619799
1869,-1,0.74212575248752
467,-1,0.70833169015499
1960,-1,0.80912779157884
963,-1,0.78701590907166
1746,0.7649,-1
942,0.9471,-1
973,0.9444,0.6929866524010799
197,0.9432,0.78450682262106
276,0.8976,0.917893821528545
935,-1,0.77912136750638
685,-1,0.7334882795273401
1017,0.8986,-1
1517,0.9457,0.7342526800671401
595,-1,0.78906994034849
957,0.9363,0.77940863478006
297,0.8837,0.71388372077099
73,-1,0.71824446549226
1719,-1,0.74484463926065
259,0.945,0.910385188022403
1574,0.9487,0.74569915713053
1004,0.8989,-1
730,0.8306,0.7702818025231299
1798,-1,0.77128006464121
1906,-1,0.74426807421062
1381,0.9994,0.961685331743419
1785,0.9489,0.904880815245821
188,0.9476,0.79676507534921
727,0.8323,0.76392125813545
1394,0.9217,-1
