Game Name,UsesFromPositions,SiteState,Count,HiddenInfo,Stacking,Boardless,Stochastic,DeductionPuzzle,Score,Visited,Simultaneous,ThreeDimensions,NotAllPass,Card,LargePiece,SequenceCapture,Track,Rotation,Team,Bet,HashScores,HashAmounts,HashPhases,Graph,Vertex,Cell,Edge,Dominoes,LineOfPlay,MoveAgain,NotMarkovGame,Vote,Note,Loops,StepAdjacentDistance,StepOrthogonalDistance,StepDiagonalDistance,StepOffDistance,StepAllDistance,InternalLoopInTrack,UsesSwapRule,RepeatInGame,RepeatInTurn
Yeung Luk Sz' Kon Tseung Kwan,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,
20 Squares,Yes,Yes,Yes,,,,Yes,,,,,,Yes,,,,Yes,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,
58 Holes,Yes,Yes,Yes,,,,Yes,,,,,,Yes,,,,Yes,,,,,,,Yes,Yes,Yes,,,,Yes,,,,,,,,,,,,,
Backgammon,Yes,Yes,Yes,,Yes,,Yes,,,,,,Yes,,,,Yes,,,,,,,Yes,Yes,Yes,,,,Yes,,,,,,,,,,,,,
Baralie,Yes,Yes,Yes,,Yes,,Yes,,,,,,Yes,,,,Yes,,,,,,,Yes,Yes,Yes,,,,Yes,,,,,,,,,,,,,
Cab e Quinal,Yes,Yes,Yes,,Yes,,Yes,,,,,,Yes,,,,Yes,,,,,,,Yes,Yes,Yes,,,,Yes,,,,,,,,,,,,,
Emperador,Yes,Yes,Yes,,Yes,,Yes,,,,,,Yes,,,,Yes,,,,,,,Yes,Yes,Yes,,,,Yes,,,,,,,,,,,,,
Fevga,Yes,Yes,Yes,,Yes,,Yes,,Yes,,,,Yes,,,,Yes,,,,,,,Yes,Yes,Yes,,,,Yes,,,,,,,,,,,,,
Frangieh,Yes,Yes,Yes,,Yes,,Yes,,,,,,Yes,,,,Yes,,,,,,,Yes,Yes,Yes,,,,Yes,,,,,,,,,,,,,
Garanguet,Yes,Yes,Yes,,Yes,,Yes,,,,,,Yes,,,,Yes,,,,,,,Yes,Yes,Yes,,,,Yes,,,,,,,,,,,,,
Ghingskoot,Yes,Yes,Yes,,,,Yes,,,,,,Yes,,,,Yes,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,Yes,,,
Had,Yes,Yes,,,,,Yes,,,,,,Yes,,,,Yes,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Imperial,Yes,Yes,Yes,,Yes,,Yes,,,,,,Yes,,,,Yes,,,,,,,Yes,Yes,Yes,,,,Yes,,,,,,,,,,,,,
Jacquet de Versailles,Yes,Yes,Yes,,Yes,,Yes,,Yes,,,,Yes,,,,Yes,,,,,,,Yes,Yes,Yes,,,,Yes,,,,,,,,,,,,,
Jacquet,Yes,Yes,Yes,,Yes,,Yes,,,,,,Yes,,,,Yes,,,,,,,Yes,Yes,Yes,,,,Yes,,,,,,,,,,,,,
Julbahar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawade Kelia,Yes,Yes,Yes,,Yes,,Yes,,,,,,Yes,,,,Yes,,Yes,,,,,,,Yes,,,,,,,,,,,,,,Yes,,,
Kints,Yes,Yes,Yes,,,,Yes,,,,,,Yes,,,,Yes,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,Yes,,,
Kiz Tavlasi,Yes,Yes,Yes,,Yes,,Yes,,,,,,Yes,,,,Yes,,,,,,,Yes,Yes,Yes,,,,Yes,,,,,,,,,,,,,
Laquet,Yes,Yes,Yes,,Yes,,Yes,,,,,,Yes,,,,Yes,,,,,,,Yes,Yes,Yes,,,,Yes,,,,,,,,,,,,,
Len Doat,Yes,Yes,Yes,,,,Yes,,,,,,Yes,,,,Yes,,,,,,,,,Yes,,,,Yes,,,,,,,,,,Yes,,,
Los Doze Canes,Yes,Yes,Yes,,Yes,,Yes,,,,,,Yes,,,,Yes,,,,,,,Yes,Yes,Yes,,,,Yes,,,,,,,,,,,,,
Ludus Anglicorum,Yes,Yes,Yes,,Yes,,Yes,,,,,,Yes,,,,Yes,,,,,,,Yes,Yes,Yes,,,,Yes,,,,,,,,,,Yes,,,
Ludus Lombardorum,Yes,Yes,Yes,,Yes,,Yes,,,,,,Yes,,,,Yes,,,,,,,Yes,Yes,Yes,,,,Yes,,,,,,,,,,,,,
Mahbouseh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medio Emperador,Yes,Yes,Yes,,Yes,,Yes,,,,,,Yes,,,,Yes,,,,,,,Yes,Yes,Yes,,,,Yes,,,,,,,,,,,,,
Mughrabieh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myles,Yes,Yes,Yes,,Yes,,Yes,,,,,,Yes,,,,Yes,,,,,,,Yes,Yes,Yes,,,,Yes,,,,,,,,,,,,,
Ofanfelling,Yes,Yes,Yes,,Yes,,Yes,,,,,,Yes,,,,Yes,,,,,,,Yes,Yes,Yes,,,,Yes,,,,,,,,,,,,,
Pancha Keliya,Yes,Yes,Yes,,,,Yes,,,,,,Yes,,,,Yes,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,
Panchi,Yes,Yes,Yes,,Yes,,Yes,,,,,,Yes,,,,Yes,,,,,,,,,Yes,,,,Yes,,,,,,,,,,Yes,,,
Pareia de Entrada,Yes,Yes,Yes,,Yes,,Yes,,,,,,Yes,,,,Yes,,,,,,,Yes,Yes,Yes,,,,Yes,,,,,,,,,,,,,
Plakoto,Yes,Yes,Yes,,Yes,,Yes,,Yes,,,,Yes,,,,Yes,,,,,,,Yes,Yes,Yes,,,,Yes,,,,,,,,,,,,,
Portes,Yes,Yes,Yes,,Yes,,Yes,,Yes,,,,Yes,,,,Yes,,,,,,,Yes,Yes,Yes,,,,Yes,,,,,,,,,,,,,
Provincial,Yes,Yes,Yes,,Yes,,Yes,,,,,,Yes,,,,Yes,,,,,,,Yes,Yes,Yes,,,,Yes,,,,,,,,,,,,,
Quinze Tablas,Yes,Yes,Yes,,Yes,,Yes,,,,,,Yes,,,,Yes,,,,,,,Yes,Yes,Yes,,,,Yes,,,,,,,,,,,,,
Royal Game of Ur,Yes,Yes,Yes,,,,Yes,,,,,,Yes,,,,Yes,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,
Senet,Yes,Yes,Yes,,,,Yes,,,,,,Yes,,,,Yes,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,
Tavli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thaayam,Yes,Yes,Yes,,Yes,,Yes,,,,,,Yes,,,,Yes,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,
XII Scripta,Yes,Yes,Yes,,,,Yes,,,,,,Yes,,,,Yes,,,,,,,Yes,Yes,Yes,,,,Yes,,,,,,,,,,,,,
Yahoudieh,Yes,Yes,Yes,,Yes,,Yes,,,,,,Yes,,,,Yes,,,,,,,Yes,Yes,Yes,,,,Yes,,,,,,,,,,,,,
Aralzaa,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Bajr,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Camelot,Yes,,,,,,,,,Yes,,,,,,,,,,,,,,,,Yes,,,,Yes,Yes,,,,,,,,,,,,
Chinese Checkers,Yes,,,,,,,,,Yes,,,,,,,,,,,,,,,,Yes,,,,Yes,Yes,,,,,,,,,,,,
Grasshopper,Yes,,,,,,,,,Yes,,,,,,,,,,,,,,,,Yes,,,,Yes,Yes,,,,,,,,,,,,
Halma,Yes,,,,,,,,,Yes,,,,,,,,,,,,,,,,Yes,,,,Yes,Yes,,,,,,,,,,,,
O-Pat-Kono,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,
Salta,Yes,,,,,,,,,Yes,,,,,,,,,,,,,,,,Yes,,,,Yes,Yes,,,,,,,,,,,,
Arimaa,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,Yes,,,,,,,,,,,,
Ashtapada,Yes,Yes,Yes,,,,Yes,,,,,,Yes,,,,Yes,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,
Bison,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Breakthrough,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Conspirateurs,Yes,,Yes,,,,,,,Yes,,,,,,,,,,,,,,,,Yes,,,,Yes,Yes,,,,,,,,,,,,
