Game Name,UsesFromPositions,SiteState,Count,HiddenInfo,Stacking,Boardless,Stochastic,DeductionPuzzle,Score,Visited,Simultaneous,ThreeDimensions,NotAllPass,Card,LargePiece,SequenceCapture,Track,Rotation,Team,Bet,HashScores,HashAmounts,HashPhases,Graph,Vertex,Cell,Edge,Dominoes,LineOfPlay,MoveAgain,NotMarkovGame,Vote,Note,Loops,StepAdjacentDistance,StepOrthogonalDistance,StepDiagonalDistance,StepOffDistance,StepAllDistance,InternalLoopInTrack,UsesSwapRule,RepeatInGame,RepeatInTurn
Ad elta stelpur,Yes,Yes,Yes,,,,Yes,,,,,,Yes,,,,Yes,,,,,,,Yes,Yes,Yes,,,,Yes,,,,,,,,,,,,,
At-Tab wa-d-Dukk,Yes,Yes,Yes,,,,Yes,,Yes,,,,Yes,,,,Yes,,,,Yes,,,,,Yes,,,,Yes,,,,,,,,,,,,,
Atari Go,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,
Awangdu,Yes,Yes,,,,,Yes,,,,,,Yes,,,,Yes,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,
Awithlaknakwe,Yes,,Yes,,,,,,Yes,,,,,,,,,,Yes,,Yes,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,
Bizingo,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Boseog Gonu,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,
Boxijn Barildaan,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,Yes,,,,,,,,,,,,,
Castello,Yes,,Yes,,,,,,,Yes,,,,,,,,,,,,,,,,Yes,,,,Yes,Yes,,,,,,,,,,,,
Choko,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,
Clobber,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Fang,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,Yes,,,,,,,,,,,,,
Fanorona,Yes,,,,,,,,,Yes,,,,,,,,,,,,,,Yes,Yes,,,,,Yes,Yes,,,,,,,,,,,,
Gala (Buginese),Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Gundru,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,
Ja-Jeon-Geo-Gonu,Yes,,,,,,,,,,,,,,,,Yes,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,
L'attaque,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,Yes,,,,,,,,,,
Ludus Latrunculorum,Yes,,Yes,,,,,,,Yes,,,,,,,,,,,,,,,,Yes,,,,Yes,Yes,,,,,,,,,,,Yes,
Maak Yek,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Mapuche Game,Yes,Yes,,,,,Yes,,,,,,Yes,,,,Yes,,,,,,,Yes,Yes,Yes,,,,Yes,,,,,,,,,,,,,
Mehen,Yes,Yes,Yes,,,,Yes,,,,,,Yes,,,,Yes,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,
Oust,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,
Ploy,Yes,,,,,,,,,,,,,,,,,Yes,,,,,,Yes,Yes,,,,,Yes,,,,,,,,,,,,,
Press Ups,,,,,,,,,Yes,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Queah Game,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,
Seega,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,
Shantarad,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,
Sig (Mzab),Yes,Yes,,,,,Yes,,,,,,Yes,,,,Yes,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,
Sig (Tozeur),Yes,Yes,,,,,Yes,,,,,,Yes,,,,Yes,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,
Sijat El Taba,Yes,Yes,,,,,Yes,,Yes,,,,Yes,,,,Yes,,,,Yes,,,,,Yes,,,,Yes,,,,,,,,,,,,,
Siryu (War),Yes,Yes,,,,,Yes,,,,,,Yes,,,,Yes,,,,,,,Yes,Yes,Yes,,,,Yes,,,,,,,,,,Yes,,,
Sumi Naga Game (War),Yes,,,,,,,,,,,,,,,Yes,,,,,,,,Yes,Yes,,,,,Yes,Yes,,,,,,,,,,,,
Surakarta,Yes,,,,,,,,Yes,,,,,,,,Yes,,,,,,,Yes,Yes,,,,,,,Yes,,,,,,,,,,,
Terhuchu (Small),Yes,,,,,,,,,,,,,,,Yes,,,,,,,,Yes,Yes,,,,,Yes,Yes,,,,,,,,,,,,
Toono,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,Yes,,,,,,,,
Triad,Yes,,,,,,,,Yes,,,,,,,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,
Vela,Yes,,,,,,,,,Yes,,,,,,,,,,,,,,Yes,Yes,,,,,Yes,Yes,,,,,,,,,,,,
Xarajlt,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,
Yote,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,
Dice Shogi,Yes,Yes,Yes,,,,Yes,,,,,,Yes,,,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,
Hasami Shogi,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Kyoto Shogi,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,
Minishogi,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,
Shogi,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,
Taikyoku Shogi,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,
Tobi Shogi,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Alea Evangelii,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
ArdRi,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Brandub,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
HeXentafl,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Hnefatafl,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Tablut,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Tawlbwrdd,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Banqi,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Janggi,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,
Manzhouqi,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,
Qi Guo Xiangxi,Yes,,Yes,,,,,,Yes,,,,,,,,,,,,Yes,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,
Xiangqi,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,
Pasa,,Yes,,,,,Yes,,Yes,,,,Yes,,,,,,,,Yes,,,,,Yes,,,,,,,,,,,,,,,,,
Block,Yes,,Yes,Yes,,Yes,Yes,,,,,,Yes,,Yes,,,,,,,,,,,Yes,,Yes,Yes,Yes,,,,,,,,,,,,,
Abrobad,Yes,,,,,,,,Yes,,,,,,,,,,,,Yes,,,,,Yes,,,,,,Yes,,,,,,,,,,,
Breakthrough Checkers,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,
Breakthrough Chess,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Broken Line,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,Yes,,
Diagonal Hex,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,Yes,,
Flowers,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Ciri Amber,,,,,,,,,Yes,,,,,,,,,,,,Yes,,,Yes,,,Yes,,,,,,,,,,,,,,,,
CrossGeo,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,
Ilpion,,,,,,,,,Yes,,,,,,,,,,,,Yes,,,Yes,Yes,,Yes,,,,,,,,,,,,,,,,
LastEdge,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,Yes,,,,,,,,,,,,,,,,
Line and Cross,,,,,,,,,Yes,,,,,,,,,,,,Yes,,,Yes,,,Yes,,,,,,,,,,,,,,,,
Nedilmarth,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,
Nein Ari,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,
OddEvenTree,,,,,,,,,Yes,,,,,,,,,,,,Yes,,,Yes,,,Yes,,,,,,,,,,,,,,,,
Onek Rong,,,,,,,,,Yes,,,,Yes,,,,,,,,Yes,,,Yes,Yes,,,,,,,,,,,,,,,,,,
Oriath,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,
Radran,,,,,,,,,Yes,,,,,,,,,,,,Yes,,,Yes,,,Yes,,,,,,,,,,,,,,,,
SpanRups,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,
Windir,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,
Infuse,Yes,,,,,,,,Yes,,,,Yes,,,,,,,,Yes,,,,,Yes,,,,,,,,,,,,,,,,,
Inkblots,,,,,,,,,Yes,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,Yes,,
RootZone,,,,,,,,,Yes,,,,Yes,,,,,,,,Yes,,,Yes,Yes,,,,,,,,,,,,,,,,,,
Trike,,,,,,,,,Yes,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,Yes,,
Tumbleweed,,,Yes,,Yes,,,,Yes,,,,Yes,,,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,
Contagion,,,,,,,,,Yes,,,,,,,,,,,,Yes,,,Yes,,Yes,Yes,,,Yes,,,,,,,,,,,,,
Crossline,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,
DisPath,,,,,,,,,Yes,,,,Yes,,,,,,,,Yes,,,Yes,Yes,,Yes,,,,,,,,,,,,,,,,
Dots and Boxes,,,,,,,,,Yes,,,,,,,,,,,,Yes,,,Yes,,Yes,Yes,,,Yes,,,,,,,,,,,,,
Hackenbush,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,
Hamiltonian Maze,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,Yes,,,,,,,,,,,,,,,,
Icosian,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,Yes,,,,,,,,,,,,,,,,
MaxMatch,,,,,,,,,Yes,,,,Yes,,,,,,,,Yes,,,Yes,Yes,,Yes,,,,,,,,,,,,,,,,
Sim,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,
Two-Colour,,,,,,,,,Yes,,,,Yes,,,,,,,,Yes,,,Yes,Yes,,,,,,,,,,,,,,,,,,
Wagner,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,
Chopsticks,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Morra,Yes,Yes,Yes,,,,,,Yes,,Yes,,,,,,,,,Yes,Yes,,,,,Yes,,,,,,,,,,,,,,,,,
Rock-Paper-Scissors,Yes,,Yes,,,,,,,,Yes,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Chomp,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Nim,,,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,
Stratego,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Fill A Pix,,,,,,,,Yes,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Futoshiki,,,,,,,,Yes,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,
Kakuro,,,,,,,,Yes,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Killer Sudoku,,,,,,,,Yes,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Latin Square,,,,,,,,Yes,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Magic Hexagon,,,,,,,,Yes,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Magic Square,,,,,,,,Yes,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
N Queens,,,,,,,,Yes,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Slitherlink,,,,,,,,Yes,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,
Squaro,,,,,,,,Yes,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,
Sudoku,,,,,,,,Yes,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Takuzu,,,,,,,,Yes,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
BoxOff,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Chase,Yes,,Yes,,,,,,Yes,,,,Yes,,,,,,,,Yes,,,,,Yes,,,,,,,,,,Yes,,,,,,,
Chess Puzzle,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,
Insanity,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Knight's Tour,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Lam Turki,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,Yes,,,,,,,,,,,,,
Mawryngkneng Solitaire Game,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,
N Puzzles,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Nao Gutiya Baithaneka,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,Yes,,,,,,,,,,,,,
Peg Solitaire,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,
Pentalpha,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,Yes,,,,,,,,,,,,,
Shogi Puzzle,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,
Theseus and the Minotaur,Yes,,,,,,,,,,,,Yes,,,,,,,,,,,Yes,,Yes,Yes,,,,,,,,,Yes,,,,,,,
Tower of Hanoi,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Game of Life,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
JulbaharSubgame,Yes,Yes,Yes,,Yes,,Yes,,Yes,,,,Yes,,,,Yes,,,,Yes,,,Yes,Yes,Yes,,,,Yes,,,,,,,,,,,,,
MahbousehSubgame,Yes,Yes,Yes,,Yes,,Yes,,Yes,,,,Yes,,,,Yes,,,,,,,Yes,Yes,Yes,,,,Yes,,,,,,,,,,,,,
MughrabiehSubgame,Yes,Yes,Yes,,Yes,,Yes,,Yes,,,,Yes,,,,Yes,,,,,,,Yes,Yes,Yes,,,,Yes,,,,,,,,,,,,,
