Game Name,board/war,board/sow,board/space,board/hunt,board/race,puzzle
Boukerourou-,0,1,0,0,0,0
Jodu-,0,1,0,0,0,0
Woli-,0,1,0,0,0,0
Galatjang-,0,1,0,0,0,0
Waurie-,0,1,0,0,0,0
Das_Bohnenspiel-,0,1,0,0,0,0
Intotoi-,0,1,0,0,0,0
Vai_Lung_Thlan-,0,1,0,0,0,0
Chungcajon-,0,1,0,0,0,0
Kanji_Guti-,0,1,0,0,0,0
Baqura-,0,1,0,0,0,0
Uril-,0,1,0,0,0,0
Oware-Wari,0,1,0,0,0,0
Oware-Awari,0,1,0,0,0,0
Mangala_Turkey-Seven_Holes,0,1,0,0,0,0
Mangala_Turkey-Six_Holes,0,1,0,0,0,0
Toguz_Kumalak-,0,1,0,0,0,0
Sungka-,0,1,0,0,0,0
En_Gehe-,0,1,0,0,0,0
Alitev-,0,1,0,0,0,0
Mankala-,0,1,0,0,0,0
Unnee_Tugalluulax-Popova,0,1,0,0,0,0
Unnee_Tugalluulax-Mancala_World,0,1,0,0,0,0
Yovodji-,0,1,0,0,0,0
Andot-,0,1,0,0,0,0
Um_el_Tuweisat-,0,1,0,0,0,0
English_Wari_St._Lucia-,0,1,0,0,0,0
Awari-,0,1,0,0,0,0
Duene-,0,1,0,0,0,0
Yovodi-,0,1,0,0,0,0
Tap_Urdy-,0,1,0,0,0,0
Ako_Okwe-Umuahia,0,1,0,0,0,0
Ako_Okwe-Murray,0,1,0,0,0,0
Oure_Ngat-,0,1,0,0,0,0
French_Wari-,0,1,0,0,0,0
I-,0,1,0,0,0,0
Kara-,0,1,0,0,0,0
Pachgarhwa-,0,1,0,0,0,0
Wouri-,0,1,0,0,0,0
Meusueb-,0,1,0,0,0,0
Aw-li_On-nam_Ot-tjin-Two_Counters,0,1,0,0,0,0
Aw-li_On-nam_Ot-tjin-Three_Counters,0,1,0,0,0,0
Aw-li_On-nam_Ot-tjin-Four_Counters,0,1,0,0,0,0
Aw-li_On-nam_Ot-tjin-Five_Counters,0,1,0,0,0,0
Kapana_Bona-,0,1,0,0,0,0
Bosh-,0,1,0,0,0,0
Adidada-,0,1,0,0,0,0
Andada-,0,1,0,0,0,0
Um_el-Bagara-,0,1,0,0,0,0
Halusa-,0,1,0,0,0,0
Abalalae-,0,1,0,0,0,0
Owela_Benguela-,0,1,0,0,0,0
Ngolo-,0,1,0,0,0,0
Hus_Damara-Damara,0,1,0,0,0,0
Hus_Damara-Wagner,0,1,0,0,0,0
Kisolo-Kisolo,0,1,0,0,0,0
Kisolo-Starting_Position_1,0,1,0,0,0,0
Kisolo-Starting_Position_2,0,1,0,0,0,0
Msuwa_wa_Kunja-,0,1,0,0,0,0
Kisolo_Lali-,0,1,0,0,0,0
Msuwa-,0,1,0,0,0,0
Mefuvha-,0,1,0,0,0,0
Misoro_Tsoro_Additional_Capture-Misoro_Tsoro_Additional_Capture,0,1,0,0,0,0
Misoro_Tsoro_Additional_Capture-Extra_Counters,0,1,0,0,0,0
Bao_Ki_Arabu_Zanzibar_2-,0,1,0,0,0,0
Tsoro-,0,1,0,0,0,0
Muvalavala_Luena-,0,1,0,0,0,0
Musoro_Tsoro-,0,1,0,0,0,0
Bao_Ki_Arabu_Zanzibar_1-,0,1,0,0,0,0
Hawalis-,0,1,0,0,0,0
Tsoro_Additional_Capture-,0,1,0,0,0,0
Misoro_Tsoro-Misoro_Tsoro,0,1,0,0,0,0
Misoro_Tsoro-Extra_Counters,0,1,0,0,0,0
Sute-,0,1,0,0,0,0
Nchuwa-,0,1,0,0,0,0
Tsoro_Reentered_Captures-,0,1,0,0,0,0
Okwe_Achalla-,0,1,0,0,0,0
Sat_Gol-,0,1,0,0,0,0
Katro-,0,1,0,0,0,0
Latin_Square-,0,0,0,0,0,1
Peg_Solitaire-European,0,0,0,0,0,1
Peg_Solitaire-English,0,0,0,0,0,1
Nao_Gutiya_Baithaneka-,0,0,0,0,0,1
Pentalpha-,0,0,0,0,0,1
Knights_Tour-,0,0,0,0,0,1
Lam_Turki-,0,0,0,0,0,1
Chuka-,0,0,0,0,0,1
Mawryngkneng_Solitaire_Game-,0,0,0,0,0,1
