,Cluster1.1,Cluster1.2,Cluster1.3,Cluster1.4,Cluster1.5,Cluster1.6,Cluster2.1,Cluster2.2,Cluster2.3,Cluster2.4,Cluster2.5,Cluster2.6,Cluster2.7,Cluster2.8,Cluster3.1,Cluster3.2,Cluster3.3,Cluster3.4,Cluster3.5,Cluster3.6,Cluster3.7,Cluster3.8,Cluster3.9,Cluster3.10,Cluster3.11,Cluster3.12,Cluster4
CrossBoard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.571428571428573,22.22222222222222,0.0,0.0,0.0,5.0,0.0,0.0,0.0
KintsBoard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PachisiBoard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FortyStonesWithFourGapsBoard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.571428571428573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Track,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,88.88888888888889,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TrackLoop,100.0,100.0,100.0,100.0,100.0,100.0,0.0,2.857142857142857,28.571428571428573,55.55555555555556,0.0,25.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TrackOwned,18.96551724137931,2.0,2.1739130434782608,97.26027397260275,0.0,0.0,95.0,97.14285714285714,71.42857142857143,100.0,77.77777777777777,100.0,0.0,66.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hints,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Region,100.0,98.0,97.82608695652173,98.63013698630137,80.0,25.0,40.0,68.57142857142857,85.71428571428571,55.55555555555556,55.55555555555556,100.0,0.0,66.66666666666667,0.0,6.25,10.0,0.0,7.142857142857143,4.444444444444445,25.0,100.0,42.857142857142854,15.0,28.571428571428573,12.0,76.11940298507463
Boardless,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PlayableSites,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Vertex,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.14285714285714,22.857142857142858,50.0,0.0,100.0,37.5,83.33333333333333,75.67567567567568,93.75,100.0,100.0,100.0,100.0,66.66666666666667,0.0,28.571428571428573,15.0,71.42857142857143,100.0,7.462686567164179
Cell,15.517241379310345,92.0,84.78260869565217,20.54794520547945,30.0,0.0,0.0,5.714285714285714,48.57142857142857,44.44444444444444,100.0,0.0,62.5,16.666666666666668,97.29729729729729,71.875,50.0,84.61538461538461,100.0,0.0,37.5,100.0,71.42857142857143,100.0,42.857142857142854,20.0,95.5223880597015
Edge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.428571428571427,5.555555555555555,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.492537313432836
Hand,15.517241379310345,96.0,93.47826086956522,54.794520547945204,30.0,50.0,80.0,14.285714285714286,82.85714285714286,5.555555555555555,44.44444444444444,100.0,25.0,33.333333333333336,97.29729729729729,84.375,55.0,92.3076923076923,100.0,8.88888888888889,8.333333333333334,0.0,14.285714285714286,100.0,42.857142857142854,24.0,13.432835820895523
Component,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Piece,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
PieceValue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.285714285714286,0.0,11.11111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.166666666666667,3.4482758620689653,0.0,0.0,0.0,0.0,2.985074626865672
PieceRotation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PieceDirection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2222222222222223,45.833333333333336,51.724137931034484,0.0,0.0,0.0,8.0,86.56716417910448
Dice,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.970149253731344
DiceD2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.71428571428571,88.88888888888889,66.66666666666667,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DiceD3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DiceD4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.428571428571429,5.555555555555555,11.11111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DiceD6,0.0,0.0,0.0,0.0,0.0,0.0,95.0,100.0,0.0,5.555555555555555,11.11111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.477611940298507
BiasedDice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Card,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
