Game,Ruleset,GameRuleset,Top Heuristic,Top Score
Senet,Ruleset/Kendall Five Pieces Home Row (Scholarly),Senet-Kendall_Five_Pieces_Home_Row,MobilitySimplePos,62.857142857142854
Senet,Ruleset/Kendall Five Pieces Starting Throw Home Row (Scholarly),Senet-Kendall_Five_Pieces_Starting_Throw_Home_Row,RegionProximityNeg_2,63.5
Senet,Ruleset/Kendall Five Pieces Trap Home Row (Scholarly),Senet-Kendall_Five_Pieces_Trap_Home_Row,InfluencePos,76.25
Senet,Ruleset/Kendall Five Pieces Starting Throw Trap (Scholarly),Senet-Kendall_Five_Pieces_Starting_Throw_Trap,InfluencePos,70.52631578947368
Senet,Ruleset/Kendall Starting Throw Trap Home Row (Scholarly),Senet-Kendall_Starting_Throw_Trap_Home_Row,InfluencePos,74.11764705882354
Senet,Ruleset/Kendall All Options (Scholarly),Senet-Kendall_All_Options,InfluencePos,73.15789473684211
Senet,Ruleset/Bell (Suggested),Senet-Bell,MaterialPos,90.0
Senet,Ruleset/Piccione (Scholarly),Senet-Piccione,RegionProximityPos_3,90.4
Senet,Ruleset/Jequier (Scholarly),Senet-Jequier,RegionProximityNeg_7,72.89473684210526
Tawula,,Tawula-,CornerProximityNeg,98.33333333333333
Thaayam,,Thaayam-,RegionProximityPos_0,74.52898550724629
Uturu Uturu Kaida,Ruleset/Uturu Uturu Kaida (Observed),Uturu_Uturu_Kaida-,SidesProximityPos,52.42718446601947
XII Scripta,Ruleset/Murray (Suggested),XII_Scripta-Murray,MaterialNeg,87.36842105263158
Yahoudieh,,Yahoudieh-,MaterialNeg,62.22222222222222
Aralzaa,,Aralzaa-,InfluenceNeg,68.05555555555556
Bajr,Ruleset/Bajr Small (Observed),Bajr-Bajr_Small,OwnRegionsCountNeg,80.78947368421052
Bajr,Ruleset/Bajr Medium (Observed),Bajr-Bajr_Medium,OwnRegionsCountNeg,79.33333333333333
Bajr,Ruleset/Bajr Large (Observed),Bajr-Bajr_Large,RegionProximityPos_1,55.0
Camelot,,Camelot-,CentreProximityPos,75.0
Chinese Checkers,,Chinese_Checkers-,InfluenceNeg,54.947916666666664
Grasshopper,,Grasshopper-,OwnRegionsCountNeg,73.42105263157895
Halma,,Halma-,RegionProximityPos_1,52.5
O-Pat-Kono,,O-Pat-Kono-,OwnRegionsCountNeg,61.94444444444444
Salta,,Salta-,NullHeuristicPos,50.0
Suffragetto,,Suffragetto-,MaterialPos,50.23809523809524
Los Escaques,,Los_Escaques-,ScorePos,55.42961393596986
Arimaa,,Arimaa-,RegionProximityPos_1,84.25
Ashtapada,Ruleset/Kile (Suggested),Ashtapada-Kile,CornerProximityPos,68.125
Bison,,Bison-,MaterialPos,50.5
Breakthrough,,Breakthrough-,SidesProximityPos,94.73684210526316
Conspirateurs,,Conspirateurs-,MaterialNeg,69.21052631578948
EinStein Wurfelt Nicht,,EinStein_Wurfelt_Nicht-,RegionProximityPos_3,69.23076923076923
Gauntlet,,Gauntlet-,RegionProximityPos_1,61.76470588235294
Gavalata,Ruleset/Gavalata (Observed),Gavalata-,PlayerSiteMapCountPos,65.06944444444427
Gyan Chaupar,,Gyan_Chaupar-,NullHeuristicPos,52.99145299145302
Jeson Mor,,Jeson_Mor-,InfluencePos,93.80952380952381
Jungle,,Jungle-,MaterialPos,86.9047619047619
Kawasukuts,Ruleset/Kawasukuts (Observed),Kawasukuts-Kawasukuts,MobilitySimplePos,56.25
Kawasukuts,Ruleset/Door Hazard (Observed),Kawasukuts-Door_Hazard,NullHeuristicPos,52.10317460317458
King's Valley,,Kings_Valley-,CentreProximityPos,82.5
Knightthrough,,Knightthrough-,RegionProximityPos_0,88.0952380952381
Main Pacheh,Ruleset/Main Pacheh (Described),Main_Pacheh-,SidesProximityNeg,85.30701754385956
Pachisi,Ruleset/Wikipedia (Described),Pachisi-Wikipedia,MobilitySimpleNeg,62.78571428571432
Pasa,,Pasa-,PlayerSiteMapCountPos,57.0
Patol,Ruleset/Patol (Observed),Patol-Patol,MobilitySimpleNeg,53.5
Patol,Ruleset/Captureless (Observed),Patol-Captureless,MobilitySimplePos,57.0
Pente Grammai,Ruleset/Locos Ludi Race (Scholarly),Pente_Grammai-Locos_Ludi_Race,PlayerSiteMapCountNeg,65.0
Pente Grammai,Ruleset/Locus Ludi  Knock-Off Mode (Scholarly),Pente_Grammai-Locus_Ludi__Knock-Off_Mode,CornerProximityPos,62.857142857142854
Pylos,,Pylos-,LineCompletionHeuristicNeg,65.9090909090909
Quoridor,,Quoridor-,MobilitySimplePos,95.9375
Santorini,,Santorini-,InfluencePos,67.3913043478261
Squadro,,Squadro-,MobilitySimpleNeg,78.15789473684211
Tsaydithl,Ruleset/Tsaydithl (Described),Tsaydithl-,InfluenceNeg,60.0
Tugi-Epfe,,Tugi-Epfe-,NullHeuristicPos,54.53125
Bao Ki Arabu (Zanzibar 1),,Bao_Ki_Arabu_Zanzibar_1-,InfluencePos,90.75
Bao Ki Arabu (Zanzibar 2),,Bao_Ki_Arabu_Zanzibar_2-,MobilitySimplePos,92.05882352941177
Hawalis,,Hawalis-,MobilitySimplePos,97.72727272727273
Hus (Damara),Ruleset/Damara (Observed),Hus_Damara-Damara,OwnRegionsCountPos,64.52380952380952
