Game,Ruleset,GameRuleset,Top Agent,Top Score
Wolf and Sheep,,Wolf_and_Sheep-,AlphaBeta,86.0
Wolf und Schaaf,,Wolf_und_Schaaf-,AlphaBeta,79.0
Yeung Luk Sz' Kon Tseung Kwan,Ruleset/Yeung Luk Sz' Kon Tseung Kwan (Described),Yeung_Luk_Sz_Kon_Tseung_Kwan-Yeung_Luk_Sz_Kon_Tseung_Kwan,AlphaBeta,70.5
Yeung Luk Sz' Kon Tseung Kwan,Ruleset/Murray (Suggested),Yeung_Luk_Sz_Kon_Tseung_Kwan-Murray,MAST,54.5
20 Squares,Ruleset/Seleucid (Scholarly),20_Squares-Seleucid,MAST,82.0
58 Holes,Ruleset/Carnarvon and Carter (Suggested),58_Holes-Carnarvon_and_Carter,MC-GRAVE,61.0
Backgammon,,Backgammon-,MAST,69.0
Baralie,,Baralie-,MAST,80.0
Cab e Quinal,Ruleset/Cab e Quinal (Described),Cab_e_Quinal-Cab_e_Quinal,MAST,75.0
Cab e Quinal,Ruleset/Fixed Die (Described),Cab_e_Quinal-Fixed_Die,UCT,62.0
Doblet,,Doblet-,ProgressiveHistory,79.0
Dodgem,,Dodgem-,AlphaBeta,79.0
Emperador,,Emperador-,MAST,86.0
Fevga,,Fevga-,AlphaBeta,50.0
Frangieh,,Frangieh-,UCT,77.0
Garanguet,,Garanguet-,MAST,80.0
Ghingskoot,Ruleset/Quince (Described),Ghingskoot-,MAST,61.0
Had,,Had-,MAST,66.5
Imperial,,Imperial-,AlphaBeta,90.0
Jacquet de Versailles,,Jacquet_de_Versailles-,AlphaBeta,80.0
Jacquet,,Jacquet-,AlphaBeta,74.0
Kawade Kelia,,Kawade_Kelia-,UCT,72.50000000000031
Kints,Ruleset/Kints (Observed),Kints-,ProgressiveHistory,56.0
Kiz Tavlasi,,Kiz_Tavlasi-,UCT,58.0
Knossos Game,Ruleset/Hillbom (Scholarly),Knossos_Game-Hillbom,UCT,60.625
Laquet,,Laquet-,UCT,60.0
Len Doat,,Len_Doat-,UCT,59.0
Los Doze Canes,,Los_Doze_Canes-,AlphaBeta,50.0
Ludus Anglicorum,Ruleset/Ludus Anglicorum (Described),Ludus_Anglicorum-Ludus_Anglicorum,AlphaBeta,75.0
Ludus Lombardorum,,Ludus_Lombardorum-,MAST,84.0
Medio Emperador,Ruleset/Medio Emperador (Described),Medio_Emperador-,MAST,85.0
Myles,,Myles-,MAST,77.0
Nama,Ruleset/Nama (Observed),Nama-,AlphaBeta,53.279386712095445
Ofanfelling,,Ofanfelling-,ProgressiveHistory,59.0
Pancha Keliya,,Pancha_Keliya-,MAST,65.0
Panchi,,Panchi-,ProgressiveHistory,71.0
Pareia de Entrada,Ruleset/Pareia de Entrada (Described),Pareia_de_Entrada-,MAST,84.0
Plakoto,,Plakoto-,AlphaBeta,79.0
Portes,,Portes-,AlphaBeta,78.0
Provincial,,Provincial-,MAST,85.0
Quinze Tablas,,Quinze_Tablas-,UCT,77.0
Royal Game of Ur,Ruleset/Finkel (Scholarly),Royal_Game_of_Ur-Finkel,MAST,83.0
Royal Game of Ur,Ruleset/Murray (Suggested),Royal_Game_of_Ur-Murray,MAST,68.5
Senet,Ruleset/Kendall (Scholarly),Senet-Kendall,UCT,64.0
Senet,Ruleset/Kendall Five Pieces (Scholarly),Senet-Kendall_Five_Pieces,UCT,66.0
Senet,Ruleset/Kendall Trap (Scholarly),Senet-Kendall_Trap,MAST,75.0
Senet,Ruleset/Kendall Home Row (Scholarly),Senet-Kendall_Home_Row,MAST,69.0
Senet,Ruleset/Kendall Starting Throw (Scholarly),Senet-Kendall_Starting_Throw,MAST,72.0
Senet,Ruleset/Kendall Trap Home Row (Scholarly),Senet-Kendall_Trap_Home_Row,UCT,67.5
Senet,Ruleset/Kendall Five Pieces Starting Throw (Scholarly),Senet-Kendall_Five_Pieces_Starting_Throw,MAST,64.0
