Games;Bao Ki Arabu (Zanzibar 1);Bao Ki Arabu (Zanzibar 2);Hawalis;Hus (Damara);Mefuvha;Muvalavala (Luena);Owela (Benguela);Abalala'e;Ako Okwe;Alitev;Aw-li On-nam Ot-tjin;Bosh;Dabuda;Das Bohnenspiel;En Gehe;English Wari (St, Lucia);French Wari;Halusa;J'odu;Kalah;Kara;Mangala (Turkey);Mbangbi;Meusueb;Oware;Sungka;Toguz Kumalak;Um el Tuweisat;Um el-Bagara;Unnee Tugalluulax;Vai Lung Thlan;Waurie;Woli;Wore;Wouri;Yovodji
Um el Tuweisat;0,1981;0,1988;0,1788;0,2155;0,1925;0,1977;0,2209;0,2181;0,1469;0,1233;0,1331;0,1487;0,1846;0,128;0,1343;0,15;0,1417;0,1127;0,1473;0,1205;0,0874;0,1375;0,1449;0,1373;0,1252;0,1572;0,1484;0;0,0981;0,1351;0,1484;0,2241;0,129;0,1374;0,1313;0,117
Um el-Bagara;0,1942;0,1866;0,1715;0,2036;0,2227;0,2155;0,2274;0,2339;0,1654;0,1137;0,1496;0,1578;0,171;0,1178;0,1566;0,1483;0,1482;0,1243;0,155;0,1436;0,1113;0,1159;0,1058;0,1481;0,1304;0,1849;0,1777;0,0981;0;0,1298;0,1522;0,2005;0,1382;0,1291;0,141;0,1421
Unnee Tugalluulax;0,2315;0,1882;0,1744;0,2204;0,2356;0,1749;0,2273;0,2052;0,1787;0,0496;0,0952;0,1139;0,1958;0,0367;0,1072;0,1454;0,0547;0,0492;0,0603;0,0653;0,0667;0,0809;0,0836;0,0809;0,0755;0,1072;0,1656;0,1351;0,1298;0;0,0523;0,1146;0,0778;0,042;0,081;0,1006
Vai Lung Thlan;0,2539;0,2049;0,1932;0,2378;0,2546;0,1995;0,2448;0,2418;0,1881;0,0458;0,1154;0,1219;0,2292;0,0512;0,1312;0,1567;0,0878;0,062;0,0927;0,0938;0,0969;0,0718;0,098;0,0995;0,1167;0,1205;0,1859;0,1484;0,1522;0,0523;0;0,1195;0,1126;0,0475;0,1162;0,1456
Waurie;0,2955;0,2452;0,2424;0,2766;0,2976;0,2473;0,2835;0,2696;0,257;0,1143;0,1798;0,1745;0,2727;0,1175;0,1831;0,234;0,1351;0,1238;0,1331;0,1113;0,1325;0,1433;0,1608;0,1473;0,169;0,1409;0,2476;0,2241;0,2005;0,1146;0,1195;0;0,1728;0,1232;0,1546;0,2015
Woli;0,2305;0,2005;0,1902;0,2302;0,2348;0,192;0,2364;0,213;0,1884;0,0911;0,1212;0,1575;0,2077;0,0913;0,1375;0,1494;0,1017;0,0623;0,0956;0,1018;0,0948;0,1187;0,1316;0,1259;0,0094;0,1305;0,1711;0,129;0,1382;0,0778;0,1126;0,1728;0;0,1124;0,0935;0,0457
Wore;0,2367;0,1951;0,1856;0,2281;0,2381;0,2017;0,235;0,2372;0,172;0,0537;0,1139;0,1075;0,2103;0,0564;0,1144;0,1313;0,0867;0,0796;0,0928;0,0899;0,0784;0,0721;0,0696;0,0868;0,1028;0,1303;0,1763;0,1374;0,1291;0,042;0,0475;0,1232;0,1124;0;0,0968;0,1306
Wouri;0,1861;0,1603;0,1613;0,1848;0,1762;0,148;0,1907;0,1749;0,185;0,1098;0,1083;0,1146;0,1436;0,0835;0,0778;0,1302;0,0553;0,0643;0,0437;0,0672;0,0827;0,1337;0,1288;0,069;0,0866;0,1009;0,1458;0,1313;0,141;0,081;0,1162;0,1546;0,0935;0,0968;0;0,0809
Yovodji;0,1766;0,1718;0,1749;0,1927;0,1707;0,1234;0,1981;0,1438;0,1725;0,1223;0,1429;0,1504;0,1564;0,1141;0,1055;0,1472;0,0748;0,0983;0,0806;0,0772;0,1116;0,1571;0,1529;0,1012;0,0452;0,098;0,1608;0,117;0,1421;0,1006;0,1456;0,2015;0,0457;0,1306;0,0809;0

